Podatek w przedmiotach: 33 074k
Podatek w gotówce: 13 284k
Suma wypłat w przedmiotach: 263 106k
Suma wypłat w gotówce: 105 362k
Suma zwrotów w przedmiotach: 32 889k
Suma zwrotów w gotówce: 13 163k
Nick            | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | Wypłata w przedmiotach CTA - CTA | Wypłata w przedmiotach HO BEACH - 1 | Wypłata w przedmiotach HO BEACH - 2+3 | Wypłata w przedmiotach HO DALE - 1+2+3+4 | Wypłata w przedmiotach Szkolenie - STATIK T7
--------------- | ----------------- | ------------- | --------------------- | -------------------------------- | ----------------------------------- | ------------------------------------- | ---------------------------------------- | --------------------------------------------
Karoll          | 5 832k            | 5 582k        | 7.45                  | 0k                               | 282k                                | 4 834k                                | 8 568k                                   | 0k                                          
MESSSI          | 3 976k            | 6 406k        | 8.55                  | 0k                               | 512k                                | 4 030k                                | 7 246k                                   | 0k                                          
Zdredowany      | 7 984k            | 3 634k        | 4.85                  | 0k                               | 512k                                | 4 834k                                | 14 554k                                  | 0k                                          
Kacper17        | 7 384k            | 5 620k        | 7.5                   | 0k                               | 164k                                | 3 754k                                | 14 554k                                  | 0k                                          
Slepy081        | 1 434k            | 823k          | 1.1                   | 0k                               | 164k                                | 1 884k                                | 1 764k                                   | 0k                                          
Z0X3N           | 3 386k            | 1 273k        | 1.7                   | 0k                               | 164k                                | 3 784k                                | 5 074k                                   | 0k                                          
Maendrake       | 0k                | 711k          | 0.9500000000000001    | 0k                               | 164k                                | 0k                                    | 216k                                     | 0k                                          
ItsBlank        | 2 158k            | 374k          | 0.5                   | 0k                               | 394k                                | 0k                                    | 3 494k                                   | 0k                                          
Akex            | 1 866k            | 524k          | 0.7000000000000001    | 0k                               | 164k                                | 1 884k                                | 2 784k                                   | 0k                                          
Krzychu         | 1 972k            | 561k          | 0.75                  | 0k                               | 394k                                | 0k                                    | 5 482k                                   | 0k                                          
Go1on           | 6 492k            | 1 498k        | 2.0                   | 0k                               | 348k                                | 3 784k                                | 11 266k                                  | 0k                                          
