Podatek w przedmiotach: 9104983
Podatek w gotówce: 2630977
Suma wypłat w przedmiotach: 72189000
Suma wypłat w gotówce: 20631000
Suma zwrotów w przedmiotach: 9016000
Suma zwrotów w gotówce: 2568000
Nick           | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | Wypłata w przedmiotach FORT STERLING | Wypłata w przedmiotach HO HILLS | Wypłata w przedmiotach HO BEACH
-------------- | ----------------- | ------------- | --------------------- | ------------------------------------ | ------------------------------- | -------------------------------
Zdredowany     | 2022000           | 945000        | 1.438034188034188     | 1576000                              | 1410000                         | 2654000                        
Kacper17       | 2098000           | 2985000       | 4.541666666666666     | 1576000                              | 2952000                         | 3998000                        
MESSSI         | 550000            | 839000        | 1.277777777777778     | 1576000                              |                                 | 778000                         
Appa           | 988000            | 268000        | 0.41025641025641024   | 1576000                              | 2952000                         | 456000                         
DrPolon        | 1676000           | 241000        | 0.3685897435897436    | 1576000                              | 1410000                         | 1724000                        
KapitanAfryka  | 564000            | 191000        | 0.29166666666666663   | 1576000                              |                                 | 474000                         
Jenny          | 346000            | 218000        | 0.3333333333333333    | 1576000                              | 1542000                         | 446000                         
ZOX3N          | 1458000           | 643000        | 0.9797008547008548    |                                      | 2952000                         | 2626000                        
Vircynger      | 0                 | 163000        | 0.25                  |                                      | 1542000                         | 1022000                        
Mupik          | 218000            | 172000        | 0.2638888888888889    |                                      | 1542000                         | 1050000                        
Schisym        | 0                 | 36000         | 0.05555555555555555   |                                      | 1542000                         |                                
Go1on          | 1458000           | 259000        | 0.39636752136752135   |                                      | 1410000                         | 2756000                        
Karoll         | 1458000           | 205000        | 0.31303418803418803   |                                      | 1410000                         | 2180000                        
Eillord        | 1330000           | 132000        | 0.20192307692307693   |                                      | 1410000                         | 1724000                        
Maendrake      | 1458000           | 862000        | 1.313034188034188     |                                      | 1410000                         | 2180000                        
Doriss         | 1548000           | 214000        | 0.3269230769230769    |                                      | 1410000                         | 2198000                        
Senitovacua    | 732000            | 132000        | 0.20192307692307693   |                                      | 1410000                         | 474000                         
Logray         | 718000            | 205000        | 0.31303418803418803   |                                      | 1410000                         | 778000                         
JuriOwsienko69 | 590000            | 132000        | 0.20192307692307693   |                                      | 1410000                         | 322000                         
Wojciecch      | 257000            | 50000         | 0.07692307692307693   |                                      | 705000                          |                                
Widik          | 294000            | 163000        | 0.25                  |                                      |                                 | 796000                         
Cvaniak        | 76000             | 81000         | 0.125                 |                                      |                                 | 322000                         
Hohla          | 76000             | 81000         | 0.125                 |                                      |                                 | 322000                         
Grubas5999     | 76000             | 81000         | 0.125                 |                                      |                                 | 322000                         
Tomko          | 76000             | 81000         | 0.125                 |                                      |                                 | 322000                         
Faust          | 218000            | 81000         | 0.125                 |                                      |                                 | 474000                         
Bonio          | 218000            | 81000         | 0.125                 |                                      |                                 | 474000                         
Taya           | 128000            | 72000         | 0.1111111111111111    |                                      |                                 | 456000                         
ZaluzjaSolonez | 0                 | 657000        | 1.0                   |                                      |                                 |                                
FANeris        | 0                 | 657000        | 1.0                   |                                      |                                 |                                
Inka           | 0                 | 657000        | 1.0                   |                                      |                                 |                                
