Podatek w przedmiotach: 11233988
Podatek w gotówce: 3782988
Suma wypłat w przedmiotach: 89268000
Suma wypłat w gotówce: 29592000
Suma zwrotów w przedmiotach: 11148000
Suma zwrotów w gotówce: 3685000
Nick             | Wypłata w przedmiotach | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku
---------------- | ---------------------- | ----------------- | ------------- | ---------------------
MESSSI           | 5120000                | 1724000           | 2147000       | 3.3222222222222224   
FANeris          | 3484000                | 846000            | 1507000       | 2.3333333333333335   
Tomko            | 2972000                | 1214000           | 214000        | 0.3333333333333333   
Maendrake        | 2656000                | 1238000           | 1364000       | 2.111111111111111    
Cvaniak          | 1544000                | 742000            | 70000         | 0.1111111111111111   
Bonio            | 4662000                | 1994000           | 307000        | 0.47619047619047616  
Eillord          | 3176000                | 1148000           | 207000        | 0.3222222222222222   
Karoll           | 5160000                | 2116000           | 1507000       | 2.3333333333333335   
Logray           | 9416000                | 3084000           | 515000        | 0.7984126984126982   
Sqbaniec         | 1544000                | 742000            | 70000         | 0.1111111111111111   
Kacper17         | 7284000                | 2342000           | 1644000       | 2.5444444444444447   
Wojciecch        | 5600000                | 2258000           | 299000        | 0.4650793650793651   
Golon            | 5882000                | 1748000           | 235000        | 0.36507936507936506  
Jenny            | 6216000                | 1870000           | 1018000       | 1.5761904761904764   
Doriss           | 2956000                | 864000            | 235000        | 0.36507936507936506  
Senitovacua      | 2466000                | 968000            | 235000        | 0.36507936507936506  
Bozydaar         | 360000                 | 0                 | 70000         | 0.1111111111111111   
DrPolon          | 2542000                | 962000            | 207000        | 0.3222222222222222   
JuriOwsienko69   | 2542000                | 962000            | 854000        | 1.3222222222222222   
RoksamaDuszomAS3 | 258000                 | 52000             | 70000         | 0.1111111111111111   
FausT            | 2636000                | 594000            | 207000        | 0.3222222222222222   
Karpik2115       | 1758000                | 642000            | 142000        | 0.2222222222222222   
Klaudiuszs       | 3004000                | 986000            | 207000        | 0.3222222222222222   
Grubas5999       | 1112000                | 496000            | 0             | 0.0                  
Appa             | 1652000                | 0                 | 0             | 0.0                  
bocian20cm       | 418000                 | 0                 | 70000         | 0.1111111111111111   
KOSA19           | 1424000                | 0                 | 70000         | 0.1111111111111111   
Asada            | 418000                 | 0                 | 70000         | 0.1111111111111111   
Krampet          | 1006000                | 0                 | 0             | 0.0                  
ZaluzjaSolonez   | 0                      | 0                 | 1292000       | 2.0                  
