Podatek w przedmiotach: 26 276k
Podatek w gotówce: 4 779k
Suma wypłat w przedmiotach: 208 552k
Suma wypłat w gotówce: 37 035k
Suma zwrotów w przedmiotach: 26 061k
Suma zwrotów w gotówce: 4 618k
Nick            | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | Wypłata w przedmiotach CTA - 1 | Wypłata w przedmiotach FORT STERLING - 1 | Wypłata w przedmiotach FORT STERLING - 2 | Wypłata w przedmiotach LYMHURST - 1 | Wypłata w przedmiotach OBÓZ SZKOLENIOWY - 1
--------------- | ----------------- | ------------- | --------------------- | ------------------------------ | ---------------------------------------- | ---------------------------------------- | ----------------------------------- | -------------------------------------------
Bonio           | 2 736k            | 1 966k        | 4.800000000000001     | 0k                             | 0k                                       | 594k                                     | 12 878k                             | 0k                                         
MESSSI          | 2 736k            | 4 773k        | 11.649999999999999    | 0k                             | 0k                                       | 0k                                       | 13 502k                             | 0k                                         
Logray          | 1 262k            | 408k          | 1.0                   | 0k                             | 0k                                       | 0k                                       | 7 624k                              | 0k                                         
Chad187         | 2 044k            | 696k          | 1.7                   | 0k                             | 0k                                       | 0k                                       | 7 512k                              | 0k                                         
Go1on           | 1 718k            | 593k          | 1.4499999999999997    | 0k                             | 0k                                       | 594k                                     | 8 864k                              | 0k                                         
Mupik           | 574k              | 245k          | 0.6000000000000001    | 0k                             | 0k                                       | 0k                                       | 2 136k                              | 0k                                         
Wojciecch       | 1 172k            | 286k          | 0.7000000000000001    | 0k                             | 0k                                       | 0k                                       | 3 232k                              | 0k                                         
Brynol          | 658k              | 163k          | 0.4                   | 0k                             | 0k                                       | 0k                                       | 1 832k                              | 0k                                         
XPerLuna        | 1 804k            | 491k          | 1.2                   | 0k                             | 0k                                       | 0k                                       | 6 750k                              | 0k                                         
Akex            | 214k              | 163k          | 0.4                   | 0k                             | 0k                                       | 0k                                       | 1 176k                              | 0k                                         
SipYouUp        | 1 678k            | 388k          | 0.95                  | 0k                             | 0k                                       | 0k                                       | 6 456k                              | 0k                                         
MercyTheAngel   | 1 578k            | 368k          | 0.9                   | 0k                             | 0k                                       | 0k                                       | 6 994k                              | 0k                                         
Z0X3N           | 2 880k            | 860k          | 2.0999999999999996    | 0k                             | 0k                                       | 0k                                       | 12 330k                             | 0k                                         
JuriOwsienko69  | 552k              | 1 392k        | 3.4000000000000004    | 0k                             | 0k                                       | 0k                                       | 1 520k                              | 0k                                         
