Podatek w przedmiotach: 2883993
Podatek w gotówce: 573992
Suma wypłat w przedmiotach: 22874000
Suma wypłat w gotówce: 4446000
Suma zwrotów w przedmiotach: 2853000
Suma zwrotów w gotówce: 550000
Nick           | Wypłata w przedmiotach | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku
-------------- | ---------------------- | ----------------- | ------------- | ---------------------
Karoll         | 1840000                | 494000            | 854000        | 1.0                  
Kacper17       | 1840000                | 494000            | 94000         | 0.1111111111111111   
Wojciecch      | 1656000                | 247000            | 209000        | 0.24503968253968253  
Bonio          | 1840000                | 494000            | 94000         | 0.1111111111111111   
JuriOwsienko69 | 1840000                | 494000            | 94000         | 0.1111111111111111   
Filx           | 920000                 | 247000            | 94000         | 0.1111111111111111   
Tomko          | 2576000                | 494000            | 209000        | 0.24503968253968253  
Zdredowany     | 2576000                | 494000            | 209000        | 0.24503968253968253  
FANeris        | 1840000                | 494000            | 94000         | 0.1111111111111111   
MESSSI         | 1840000                | 494000            | 94000         | 0.1111111111111111   
Klaudiuszs     | 736000                 | 0                 | 854000        | 1.0                  
Vircynger      | 736000                 | 0                 | 113000        | 0.13392857142857142  
Logray         | 736000                 | 0                 | 113000        | 0.13392857142857142  
Inka           | 736000                 | 0                 | 113000        | 0.13392857142857142  
Bocian20cm     | 736000                 | 0                 | 113000        | 0.13392857142857142  
Krampet        | 426000                 | 0                 | 52000         | 0.0625               
