Podatek w przedmiotach: 39 950k
Podatek w gotówce: 8 640k
Suma wypłat w przedmiotach: 317 584k
Suma wypłat w gotówce: 66 404k
Suma zwrotów w przedmiotach: 39 695k
Suma zwrotów w gotówce: 8 311k
Nick            | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | LOOT BEACH - 1+2+4 | LOOT BEACH - 3 | LOOT FORT - 1 | LOOT FORT - 2 | LOOT FORT - 3
--------------- | ----------------- | ------------- | --------------------- | ------------------ | -------------- | ------------- | ------------- | -------------
karoll          | 4 516k            | 2 251k        | 4.3                   | 12 554k            | 2 206k         | 212k          | 3 220k        | 0k           
orzech          | 4 770k            | 4 712k        | 9.0                   | 11 424k            | 1 736k         | 212k          | 1 440k        | 0k           
(sz)harvaus     | 1 076k            | 156k          | 0.30000000000000004   | 1 914k             | 0k             | 212k          | 0k            | 0k           
(sz)schirecik   | 1 266k            | 182k          | 0.35                  | 2 866k             | 0k             | 212k          | 0k            | 0k           
carpet          | 802k              | 1 413k        | 2.6999999999999997    | 2 064k             | 470k           | 212k          | 0k            | 0k           
(sz)hikarin     | 0k                | 0k            | 0.0                   | 0k                 | 0k             | 212k          | 0k            | 0k           
arkadius        | 826k              | 680k          | 1.3                   | 560k               | 1 736k         | 212k          | 0k            | 0k           
(hf)icipheri    | 1 464k            | 575k          | 1.1                   | 5 222k             | 680k           | 212k          | 0k            | 0k           
(sz)vepest      | 1 190k            | 313k          | 0.6000000000000001    | 4 220k             | 0k             | 212k          | 0k            | 0k           
(hf)shehem      | 0k                | 0k            | 0.0                   | 0k                 | 0k             | 212k          | 0k            | 0k           
sasza           | 694k              | 2 879k        | 5.5                   | 1 082k             | 0k             | 0k            | 6 064k        | 3 048k       
demon           | 226k              | 261k          | 0.5                   | 0k                 | 0k             | 0k            | 6 064k        | 3 048k       
van             | 688k              | 732k          | 1.4                   | 4 448k             | 3 096k         | 0k            | 3 734k        | 2 212k       
yuegre          | 1 970k            | 1 387k        | 2.65                  | 8 768k             | 3 096k         | 0k            | 4 624k        | 3 048k       
beslarin        | 424k              | 182k          | 0.35                  | 1 660k             | 4 152k         | 0k            | 2 844k        | 836k         
afa             | 3 326k            | 1 203k        | 2.3                   | 12 460k            | 470k           | 0k            | 4 284k        | 3 048k       
kpr3ys          | 468k              | 313k          | 0.6                   | 1 082k             | 0k             | 0k            | 1 954k        | 0k           
klaudiusz       | 1 758k            | 1 334k        | 2.55                  | 5 284k             | 0k             | 0k            | 4 110k        | 2 212k       
juri            | 858k              | 1 046k        | 2.0                   | 2 242k             | 3 072k         | 0k            | 4 110k        | 2 212k       
