Podatek w przedmiotach: 33 081k
Podatek w gotówce: 13 295k
Suma wypłat w przedmiotach: 263 106k
Suma wypłat w gotówce: 105 362k
Suma zwrotów w przedmiotach: 32 882k
Suma zwrotów w gotówce: 13 152k
Nick            | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | Wypłata w przedmiotach CTA - CTA | Wypłata w przedmiotach HO BEACH - 1 | Wypłata w przedmiotach HO BEACH - 2+3 | Wypłata w przedmiotach HO DALE - 1+2+3+4 | Wypłata w przedmiotach Szkolenie - STATIK T7
--------------- | ----------------- | ------------- | --------------------- | -------------------------------- | ----------------------------------- | ------------------------------------- | ---------------------------------------- | --------------------------------------------
Karoll          | 5 832k            | 5 339k        | 14.9                  | 0k                               | 282k                                | 4 834k                                | 8 568k                                   | 0k                                          
MESSSI          | 3 976k            | 6 127k        | 17.1                  | 0k                               | 512k                                | 4 030k                                | 7 246k                                   | 0k                                          
Zdredowany      | 7 984k            | 6 522k        | 18.2                  | 0k                               | 512k                                | 4 834k                                | 14 554k                                  | 0k                                          
Kacper17        | 7 384k            | 5 769k        | 16.1                  | 0k                               | 164k                                | 3 754k                                | 14 554k                                  | 0k                                          
Slepy081        | 1 434k            | 787k          | 2.2                   | 0k                               | 164k                                | 1 884k                                | 1 764k                                   | 0k                                          
Z0X3N           | 3 386k            | 1 218k        | 3.4                   | 0k                               | 164k                                | 3 784k                                | 5 074k                                   | 0k                                          
Maendrake       | 0k                | 680k          | 1.9000000000000001    | 0k                               | 164k                                | 0k                                    | 216k                                     | 0k                                          
ItsBlank        | 2 158k            | 357k          | 1.0                   | 0k                               | 394k                                | 0k                                    | 3 494k                                   | 0k                                          
Akex            | 1 866k            | 501k          | 1.4000000000000001    | 0k                               | 164k                                | 1 884k                                | 2 784k                                   | 0k                                          
Krzychu         | 1 972k            | 536k          | 1.5                   | 0k                               | 394k                                | 0k                                    | 5 482k                                   | 0k                                          
Go1on           | 6 492k            | 1 432k        | 4.0                   | 0k                               | 348k                                | 3 784k                                | 11 266k                                  | 0k                                          
Eillord         | 4 972k            | 752k          | 2.0999999999999996    | 0k                               | 348k                                | 1 884k                                | 8 976k                                   | 0k                                          
Mupik           | 996k              | 465k          | 1.3                   | 0k                               | 118k                                | 716k                                  | 2 290k                                   | 0k                                          
EuroMelon       | 6 006k            | 1 504k        | 4.2                   | 0k                               | 348k                                | 1 766k                                | 13 030k                                  | 0k                                          
ZboczonyStaszek | 6 330k            | 1 432k        | 4.0                   | 0k                               | 348k                                | 716k                                  | 14 338k                                  | 0k                                          
XPerLuna        | 3 689k            | 966k          | 2.7                   | 0k                               | 174k                                | 2 250k                                | 7 599k                                   | 0k                                          
INKA            | 0k                | 859k          | 2.4000000000000004    | 0k                               | 118k                                | 0k                                    | 0k                                       | 0k                                          
